Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
119,Tether,USDT,"Mar 09, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$67,017,876,859 ","$80,051,824,534 "
120,Tether,USDT,"Mar 08, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$55,667,916,973 ","$80,052,159,025 "
121,Tether,USDT,"Mar 07, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$61,333,826,920 ","$80,032,902,659 "
122,Tether,USDT,"Mar 06, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$43,914,369,258 ","$79,732,529,564 "
123,Tether,USDT,"Mar 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$39,306,054,797 ","$79,734,998,187 "
124,Tether,USDT,"Mar 04, 2022",$1.00 ,$1.00 ,$1 ,$1.00 ,"$61,900,652,306 ","$79,528,727,937 "
125,Tether,USDT,"Mar 03, 2022",$1.00 ,$1.00 ,$1 ,$1.00 ,"$57,033,279,685 ","$79,758,387,196 "
126,Tether,USDT,"Mar 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$68,076,385,283 ","$79,479,184,547 "
127,Tether,USDT,"Mar 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$75,388,694,286 ","$79,451,956,861 "
128,Tether,USDT,"Feb 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$72,330,789,600 ","$79,603,976,463 "
129,Tether,USDT,"Feb 27, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$57,257,598,779 ","$79,587,144,285 "
130,Tether,USDT,"Feb 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$46,708,690,534 ","$79,571,654,148 "
131,Tether,USDT,"Feb 25, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$66,025,345,539 ","$79,521,157,340 "
132,Tether,USDT,"Feb 24, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$107,952,010,250 ","$79,525,180,253 "
133,Tether,USDT,"Feb 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$54,845,607,157 ","$79,454,771,411 "
134,Tether,USDT,"Feb 22, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$60,539,262,856 ","$79,410,542,602 "
135,Tether,USDT,"Feb 21, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$72,043,746,349 ","$79,085,306,875 "
136,Tether,USDT,"Feb 20, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$45,611,091,002 ","$79,051,748,941 "
137,Tether,USDT,"Feb 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$37,278,604,791 ","$79,042,970,275 "
138,Tether,USDT,"Feb 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$52,679,060,916 ","$78,738,713,001 "
139,Tether,USDT,"Feb 17, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$59,426,477,844 ","$78,713,531,339 "
140,Tether,USDT,"Feb 16, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$48,729,582,312 ","$78,672,234,450 "
141,Tether,USDT,"Feb 15, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$53,542,330,209 ","$78,515,924,561 "
142,Tether,USDT,"Feb 14, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$48,318,327,792 ","$78,499,268,283 "
143,Tether,USDT,"Feb 13, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$41,277,090,178 ","$78,458,775,425 "
144,Tether,USDT,"Feb 12, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$49,138,854,287 ","$78,470,179,414 "
145,Tether,USDT,"Feb 11, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$66,753,002,645 ","$78,442,064,943 "
146,Tether,USDT,"Feb 10, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$77,334,791,717 ","$78,091,072,165 "
147,Tether,USDT,"Feb 09, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$53,386,706,331 ","$77,984,817,276 "
148,Tether,USDT,"Feb 08, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$72,230,569,455 ","$77,971,083,989 "
149,Tether,USDT,"Feb 07, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$64,635,714,287 ","$77,952,000,451 "
150,Tether,USDT,"Feb 06, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$40,572,292,703 ","$77,961,684,799 "
151,Tether,USDT,"Feb 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$50,686,325,002 ","$77,955,111,127 "
152,Tether,USDT,"Feb 04, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$59,154,422,463 ","$77,998,586,948 "
153,Tether,USDT,"Feb 03, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$41,979,444,063 ","$77,979,777,938 "
154,Tether,USDT,"Feb 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$44,198,324,772 ","$77,970,345,723 "
155,Tether,USDT,"Feb 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$43,193,864,245 ","$78,013,631,849 "
156,Tether,USDT,"Jan 31, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$45,082,693,892 ","$78,158,330,893 "
157,Tether,USDT,"Jan 30, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$35,043,713,256 ","$78,144,090,896 "
158,Tether,USDT,"Jan 29, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$39,357,192,812 ","$78,141,712,212 "
159,Tether,USDT,"Jan 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$50,688,257,403 ","$78,195,565,136 "
160,Tether,USDT,"Jan 27, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$53,950,927,548 ","$78,219,016,112 "
161,Tether,USDT,"Jan 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$70,750,980,627 ","$78,206,885,444 "
162,Tether,USDT,"Jan 25, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$58,560,287,216 ","$78,204,897,226 "
163,Tether,USDT,"Jan 24, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$88,845,381,041 ","$78,294,417,929 "
164,Tether,USDT,"Jan 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$57,296,666,670 ","$78,350,199,962 "
165,Tether,USDT,"Jan 22, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$90,441,827,607 ","$78,264,128,275 "
166,Tether,USDT,"Jan 21, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$86,570,105,642 ","$78,288,391,850 "
167,Tether,USDT,"Jan 20, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$38,591,713,522 ","$78,344,671,135 "
168,Tether,USDT,"Jan 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$50,127,231,375 ","$78,352,919,536 "
169,Tether,USDT,"Jan 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$52,799,723,207 ","$78,337,429,211 "
170,Tether,USDT,"Jan 17, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$51,430,977,642 ","$78,428,435,742 "
171,Tether,USDT,"Jan 16, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$41,551,382,127 ","$78,432,253,977 "
172,Tether,USDT,"Jan 15, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$41,922,988,280 ","$78,449,911,429 "
173,Tether,USDT,"Jan 14, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$60,503,324,000 ","$78,416,520,726 "
174,Tether,USDT,"Jan 13, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$63,231,903,910 ","$78,428,105,054 "
175,Tether,USDT,"Jan 12, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$62,300,703,831 ","$78,413,876,541 "
176,Tether,USDT,"Jan 11, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$59,061,400,900 ","$78,307,519,117 "
177,Tether,USDT,"Jan 10, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$68,455,690,767 ","$78,305,814,910 "
178,Tether,USDT,"Jan 09, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$49,109,221,960 ","$78,312,801,194 "
179,Tether,USDT,"Jan 08, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$62,394,894,090 ","$78,300,284,653 "
180,Tether,USDT,"Jan 07, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$82,344,370,614 ","$78,445,946,782 "
181,Tether,USDT,"Jan 06, 2022",$1.00 ,$1.00 ,$1 ,$1.00 ,"$71,751,236,899 ","$78,557,505,245 "
